Plan, EDoc, EIdx
q1, 100.0, 1.0
q2, 796812.749, 10.0
q3, 199.998, 100.998
q4, 1454034.609, 657231.86
q5, 814818.827, 18016.078
q6, 11.0, 2.0
q7, 602739.726, 54804.521
q8, 76625.007, 21840.486
q9, 200.998, 101.998
q10, 17190001.654, 2148028.886
q11, 1386567.394, 814261.152
q12, 420027.514, 7961.275
q13, 3865393.126, 76263.931
q14, 345538.746, 6803.849
q15, 1002538.576, 406539.576
q16, 1939360.042, 747362.042
q17, 835068.493, 6577.342
q18, 1.0, 1.0
