Plan, EDoc, EIdx
q1, 10.0, 1.0
q2, 79681.275, 10.0
q3, 100.715, 100.998
q4, 80181.275, 657231.86
q5, 80181.275, 18016.078
q6, 100.998, 2.0
q7, 1871324.805, 54804.521
q8, 75034.853, 21840.486
q9, 101.715, 101.998
q10, 1492268.198, 1998907.066
q11, 1464946.7, 515977.512
q12, 4551.0, 192578.089
q13, 40560.0, 1232066.55
q14, 3867.671, 159939.38
q15, 41501.0, 556865.785
q16, 81502.0, 1029902.618
q17, 81495.787, 1024094.398
q18, 1.0, 1.0
