Plan, EDoc, EIdx
q1, 1.0, 1.0
q2, 7968.127, 10.0
q3, 91.715, 100.998
q4, 8468.127, 657231.86
q5, 8468.127, 18016.078
q6, 11.0, 2.0
q7, 187582.481, 54804.521
q8, 7953.485, 21840.486
q9, 92.715, 101.998
q10, 149721.82, 1998907.066
q11, 146989.67, 515977.512
q12, 23043.837, 8051.0
q13, 36813.931, 1232066.55
q14, 3840.805, 159939.38
q15, 5501.0, 556865.785
q16, 9502.0, 1029902.618
q17, 39919.459, 6579.342
q18, 1.0, 1.0
