Plan, EDoc, EIdx
q1, 1.0, 1.0
q2, 4000.0, 1.0
q3, 1.0, 1.0
q4, 21.0, 12.0
q5, 11.0, 2.0
q6, 1972.603, 180.0
q8, 50.994, 50.994
q15, 1.0, 1.0
q16, 5.931, 5.932
q17, 5.932, 5.932
q18, 150.314, 51.314
q19, 2011.861, 219.258
q20, 4000.0, 1.0
q21, 1.0, 1.0
q22, 1.0, 1.0
q23, 4000.0, 1.0
q24, 4000.0, 1.0
q25, 1.0, 1.0
q26, 1.0, 1.0
q27, 1.0, 1.0
